game_id,team,opp_team,season,next_game_id,score,opp_score,win,reg_win,overtime,odds,opp_odds,ot_odds,game_date,situation,is_home,game_time,iceTime,opp_xGoalsPercentage,xGoalsPercentage,opp_corsiPercentage,corsiPercentage,opp_fenwickPercentage,fenwickPercentage,opp_xOnGoal,opp_xGoals,opp_xRebounds,opp_xFreeze,opp_xPlayStopped,opp_xPlayContinuedInZone,opp_xPlayContinuedOutsideZone,opp_flurryAdjustedxGoals,opp_scoreVenueAdjustedxGoals,opp_flurryScoreVenueAdjustedxGoals,opp_shotsOnGoal,opp_missedShots,opp_blockedShotAttempts,opp_shotAttempts,opp_goals,opp_rebounds,opp_reboundGoals,opp_freeze,opp_playStopped,opp_playContinuedInZone,opp_playContinuedOutsideZone,opp_savedShotsOnGoal,opp_savedUnblockedShotAttempts,opp_penalties,opp_penalityMinutes,opp_faceOffsWon,opp_hits,opp_takeaways,opp_giveaways,opp_lowDangerShots,opp_mediumDangerShots,opp_highDangerShots,opp_lowDangerxGoals,opp_mediumDangerxGoals,opp_highDangerxGoals,opp_lowDangerGoals,opp_mediumDangerGoals,opp_highDangerGoals,opp_scoreAdjustedShotsAttempts,opp_unblockedShotAttempts,opp_scoreAdjustedUnblockedShotAttempts,opp_dZoneGiveaways,opp_xGoalsFromxReboundsOfShots,opp_xGoalsFromActualReboundsOfShots,opp_reboundxGoals,opp_totalShotCredit,opp_scoreAdjustedTotalShotCredit,opp_scoreFlurryAdjustedTotalShotCredit,xOnGoal,xGoals,xRebounds,xFreeze,xPlayStopped,xPlayContinuedInZone,xPlayContinuedOutsideZone,flurryAdjustedxGoals,scoreVenueAdjustedxGoals,flurryScoreVenueAdjustedxGoals,shotsOnGoal,missedShots,blockedShotAttempts,shotAttempts,goals,rebounds,reboundGoals,freeze,playStopped,playContinuedInZone,playContinuedOutsideZone,savedShotsOnGoal,savedUnblockedShotAttempts,penalties,penalityMinutes,faceOffsWon,hits,takeaways,giveaways,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,scoreAdjustedShotsAttempts,unblockedShotAttempts,scoreAdjustedUnblockedShotAttempts,dZoneGiveaways,xGoalsFromxReboundsOfShots,xGoalsFromActualReboundsOfShots,reboundxGoals,totalShotCredit,scoreAdjustedTotalShotCredit,scoreFlurryAdjustedTotalShotCredit
2022-10-11LAKVGK,VGK,LAK,2022,2022-10-13VGKCHI,4,3,1,1,0,0.3937,0.42553,0.23529,2022-10-11,5on5,0,22:00:00,2785,0.3964,0.6036,0.3839,0.6161,0.4186,0.5814,25.777,2.532,1.899,5.904,0.799,14.54,10.325,2.404,2.448,2.32,24,12,7,43,3,2,1,10,1,6,14,21,33,4,8,22,20,7,13,22,11,3,0.649,1.107,0.776,0,2,1,42.105,36,35.392,11,0.392,0.467,0.467,2.458,2.358,2.325,36.697,3.856,2.766,8.228,1.168,19.14,14.842,3.594,4.061,3.784,43,7,19,69,3,5,0,10,1,17,14,40,47,3,6,20,20,1,2,31,14,5,1.085,1.555,1.216,1,1,1,71.248,50,51.496,2,0.584,0.827,0.827,3.613,3.804,3.601
2022-10-11LAKVGK,LAK,VGK,2022,2022-10-13LAKSEA,3,4,0,0,0,0.42553,0.3937,0.23529,2022-10-11,5on5,1,22:00:00,2785,0.6036,0.3964,0.6161,0.3839,0.5814,0.4186,36.697,3.856,2.766,8.228,1.168,19.14,14.842,3.594,4.061,3.784,43,7,19,69,3,5,0,10,1,17,14,40,47,3,6,20,20,1,2,31,14,5,1.085,1.555,1.216,1,1,1,71.248,50,51.496,2,0.584,0.827,0.827,3.613,3.804,3.601,25.777,2.532,1.899,5.904,0.799,14.54,10.325,2.404,2.448,2.32,24,12,7,43,3,2,1,10,1,6,14,21,33,4,8,22,20,7,13,22,11,3,0.649,1.107,0.776,0,2,1,42.105,36,35.392,11,0.392,0.467,0.467,2.458,2.358,2.325
2022-10-11NYRTBL,NYR,TBL,2022,2022-10-13MINNYR,3,1,1,1,0,0.44248,0.36765,0.24096,2022-10-11,5on5,1,19:30:00,2485,0.3772,0.6228,0.4179,0.5821,0.4444,0.5556,15.299,1.279,1.011,4.11,0.716,7.376,5.507,1.259,1.338,1.317,15,5,8,28,0,2,0,2,0,6,10,15,20,3,6,6,19,8,12,14,5,1,0.416,0.658,0.204,0,0,0,28.551,20,20.315,5,0.208,0.176,0.176,1.311,1.371,1.36,18.815,2.112,1.452,4.431,0.61,9.961,6.434,2.014,2.047,1.952,20,5,14,39,1,2,0,1,1,13,7,19,24,6,12,19,21,15,13,15,6,4,0.488,0.642,0.982,0,1,0,38.854,25,24.988,5,0.302,0.485,0.485,1.93,1.878,1.834
2022-10-11NYRTBL,TBL,NYR,2022,2022-10-14CBJTBL,1,3,0,0,0,0.36765,0.44248,0.24096,2022-10-11,5on5,0,19:30:00,2485,0.6228,0.3772,0.5821,0.4179,0.5556,0.4444,18.815,2.112,1.452,4.431,0.61,9.961,6.434,2.014,2.047,1.952,20,5,14,39,1,2,0,1,1,13,7,19,24,6,12,19,21,15,13,15,6,4,0.488,0.642,0.982,0,1,0,38.854,25,24.988,5,0.302,0.485,0.485,1.93,1.878,1.834,15.299,1.279,1.011,4.11,0.716,7.376,5.507,1.259,1.338,1.317,15,5,8,28,0,2,0,2,0,6,10,15,20,3,6,6,19,8,12,14,5,1,0.416,0.658,0.204,0,0,0,28.551,20,20.315,5,0.208,0.176,0.176,1.311,1.371,1.36
2022-10-12ANASEA,SEA,ANA,2022,2022-10-13LAKSEA,4,5,0,0,1,0.39062,0.42735,0.24096,2022-10-12,5on5,0,22:00:00,2932,0.3235,0.6765,0.3933,0.6067,0.3478,0.6522,17.138,1.416,1.197,4.156,0.53,9.651,7.05,1.39,1.319,1.295,20,4,11,35,2,1,0,5,1,8,7,18,22,5,13,22,14,6,9,18,5,1,0.513,0.642,0.261,1,1,0,32.735,24,22.74,3,0.247,0.148,0.148,1.515,1.416,1.405,31.776,2.961,2.245,7.207,1.037,18.161,13.39,2.82,3.191,3.04,35,10,9,54,1,5,1,6,1,13,19,34,44,4,11,19,21,4,5,32,11,2,0.883,1.496,0.581,0,1,0,58.147,45,48.426,2,0.466,0.974,0.974,2.452,2.657,2.617
2022-10-12ANASEA,ANA,SEA,2022,2022-10-15NYIANA,5,4,1,0,1,0.42735,0.39062,0.24096,2022-10-12,5on5,1,22:00:00,2932,0.6765,0.3235,0.6067,0.3933,0.6522,0.3478,31.776,2.961,2.245,7.207,1.037,18.161,13.39,2.82,3.191,3.04,35,10,9,54,1,5,1,6,1,13,19,34,44,4,11,19,21,4,5,32,11,2,0.883,1.496,0.581,0,1,0,58.147,45,48.426,2,0.466,0.974,0.974,2.452,2.657,2.617,17.138,1.416,1.197,4.156,0.53,9.651,7.05,1.39,1.319,1.295,20,4,11,35,2,1,0,5,1,8,7,18,22,5,13,22,14,6,9,18,5,1,0.513,0.642,0.261,1,1,0,32.735,24,22.74,3,0.247,0.148,0.148,1.515,1.416,1.405
2022-10-12CARCBJ,CBJ,CAR,2022,2022-10-14CBJTBL,1,4,0,0,0,0.22371,0.625,0.20877,2022-10-12,5on5,0,19:00:00,3120,0.5764,0.4236,0.6269,0.3731,0.6095,0.3905,46.219,3.015,3.0,13.531,1.572,25.57,17.313,2.925,2.972,2.883,37,27,20,84,4,7,2,9,0,28,16,33,60,2,4,37,22,16,16,52,10,2,1.195,1.324,0.496,2,2,0,84.861,64,64.367,6,0.619,0.554,0.554,3.079,3.038,2.959,29.573,2.216,1.968,7.328,1.016,15.618,12.856,2.153,2.301,2.237,31,10,9,50,1,3,0,7,2,13,15,30,40,1,2,27,26,9,10,35,5,1,1.118,0.693,0.405,1,0,0,50.744,41,41.959,4,0.405,0.609,0.609,2.012,2.099,2.086
2022-10-12CARCBJ,CAR,CBJ,2022,2022-10-14SJSCAR,4,1,1,1,0,0.625,0.22371,0.20877,2022-10-12,5on5,1,19:00:00,3120,0.4236,0.5764,0.3731,0.6269,0.3905,0.6095,29.573,2.216,1.968,7.328,1.016,15.618,12.856,2.153,2.301,2.237,31,10,9,50,1,3,0,7,2,13,15,30,40,1,2,27,26,9,10,35,5,1,1.118,0.693,0.405,1,0,0,50.744,41,41.959,4,0.405,0.609,0.609,2.012,2.099,2.086,46.219,3.015,3.0,13.531,1.572,25.57,17.313,2.925,2.972,2.883,37,27,20,84,4,7,2,9,0,28,16,33,60,2,4,37,22,16,16,52,10,2,1.195,1.324,0.496,2,2,0,84.861,64,64.367,6,0.619,0.554,0.554,3.079,3.038,2.959
2022-10-12COLCHI,CHI,COL,2022,2022-10-13VGKCHI,2,5,0,0,0,0.17544,0.69444,0.18248,2022-10-12,5on5,0,21:30:00,2867,0.4946,0.5054,0.6104,0.3896,0.6346,0.3654,22.095,1.458,1.494,5.307,0.781,14.226,9.733,1.423,1.441,1.407,25,8,14,47,1,1,0,3,1,12,15,24,32,4,11,16,29,4,6,30,2,1,0.962,0.173,0.323,1,0,0,49.51,33,33.798,2,0.3,0.323,0.323,1.435,1.43,1.397,13.921,1.49,1.057,3.56,0.574,7.169,5.15,1.432,1.468,1.41,14,5,11,30,0,4,0,4,0,2,9,14,19,7,17,19,28,2,3,12,5,2,0.339,0.633,0.518,0,0,0,28.443,19,18.38,1,0.224,0.58,0.58,1.135,1.122,1.115
2022-10-12COLCHI,COL,CHI,2022,2022-10-13CGYCOL,5,2,1,1,0,0.69444,0.17544,0.18248,2022-10-12,5on5,1,21:30:00,2867,0.5054,0.4946,0.3896,0.6104,0.3654,0.6346,13.921,1.49,1.057,3.56,0.574,7.169,5.15,1.432,1.468,1.41,14,5,11,30,0,4,0,4,0,2,9,14,19,7,17,19,28,2,3,12,5,2,0.339,0.633,0.518,0,0,0,28.443,19,18.38,1,0.224,0.58,0.58,1.135,1.122,1.115,22.095,1.458,1.494,5.307,0.781,14.226,9.733,1.423,1.441,1.407,25,8,14,47,1,1,0,3,1,12,15,24,32,4,11,16,29,4,6,30,2,1,0.962,0.173,0.323,1,0,0,49.51,33,33.798,2,0.3,0.323,0.323,1.435,1.43,1.397
