game_id,team,opp_team,season,next_game_id,score,opp_score,win,reg_win,overtime,odds,opp_odds,ot_odds,game_date,situation,is_home,game_time,iceTime,opp_xGoalsPercentage,xGoalsPercentage,opp_corsiPercentage,corsiPercentage,opp_fenwickPercentage,fenwickPercentage,opp_xOnGoal,opp_xGoals,opp_xRebounds,opp_xFreeze,opp_xPlayStopped,opp_xPlayContinuedInZone,opp_xPlayContinuedOutsideZone,opp_flurryAdjustedxGoals,opp_scoreVenueAdjustedxGoals,opp_flurryScoreVenueAdjustedxGoals,opp_shotsOnGoal,opp_missedShots,opp_blockedShotAttempts,opp_shotAttempts,opp_goals,opp_rebounds,opp_reboundGoals,opp_freeze,opp_playStopped,opp_playContinuedInZone,opp_playContinuedOutsideZone,opp_savedShotsOnGoal,opp_savedUnblockedShotAttempts,opp_penalties,opp_penalityMinutes,opp_faceOffsWon,opp_hits,opp_takeaways,opp_giveaways,opp_lowDangerShots,opp_mediumDangerShots,opp_highDangerShots,opp_lowDangerxGoals,opp_mediumDangerxGoals,opp_highDangerxGoals,opp_lowDangerGoals,opp_mediumDangerGoals,opp_highDangerGoals,opp_scoreAdjustedShotsAttempts,opp_unblockedShotAttempts,opp_scoreAdjustedUnblockedShotAttempts,opp_dZoneGiveaways,opp_xGoalsFromxReboundsOfShots,opp_xGoalsFromActualReboundsOfShots,opp_reboundxGoals,opp_totalShotCredit,opp_scoreAdjustedTotalShotCredit,opp_scoreFlurryAdjustedTotalShotCredit,xOnGoal,xGoals,xRebounds,xFreeze,xPlayStopped,xPlayContinuedInZone,xPlayContinuedOutsideZone,flurryAdjustedxGoals,scoreVenueAdjustedxGoals,flurryScoreVenueAdjustedxGoals,shotsOnGoal,missedShots,blockedShotAttempts,shotAttempts,goals,rebounds,reboundGoals,freeze,playStopped,playContinuedInZone,playContinuedOutsideZone,savedShotsOnGoal,savedUnblockedShotAttempts,penalties,penalityMinutes,faceOffsWon,hits,takeaways,giveaways,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,scoreAdjustedShotsAttempts,unblockedShotAttempts,scoreAdjustedUnblockedShotAttempts,dZoneGiveaways,xGoalsFromxReboundsOfShots,xGoalsFromActualReboundsOfShots,reboundxGoals,totalShotCredit,scoreAdjustedTotalShotCredit,scoreFlurryAdjustedTotalShotCredit
2021-01-13COLSTL,STL,COL,2020,2021-01-15COLSTL,4,1,1,1,0,0.32051,0.49751,0.23866,2021-01-13,5on5,0,22:30:00,3041,0.3604,0.6396,0.5057,0.4943,0.4483,0.5517,18.378,1.144,1.205,4.503,0.547,11.08,7.521,1.121,1.042,1.022,21,5,18,44,0,1,0,10,2,7,6,21,26,1,2,26,19,6,7,23,2,1,0.599,0.23,0.316,0,0,0,40.438,26,24.091,4,0.244,0.316,0.316,1.073,0.988,0.977,23.342,2.03,1.44,5.555,0.714,12.9,9.362,1.981,2.24,2.184,27,5,11,43,4,2,1,6,1,10,9,23,28,4,8,21,19,3,2,25,4,3,0.762,0.444,0.823,1,1,2,47.006,32,34.686,1,0.296,0.565,0.565,1.761,1.929,1.923
2021-01-13COLSTL,COL,STL,2020,2021-01-15COLSTL,1,4,0,0,0,0.49751,0.32051,0.23866,2021-01-13,5on5,1,22:30:00,3041,0.6396,0.3604,0.4943,0.5057,0.5517,0.4483,23.342,2.03,1.44,5.555,0.714,12.9,9.362,1.981,2.24,2.184,27,5,11,43,4,2,1,6,1,10,9,23,28,4,8,21,19,3,2,25,4,3,0.762,0.444,0.823,1,1,2,47.006,32,34.686,1,0.296,0.565,0.565,1.761,1.929,1.923,18.378,1.144,1.205,4.503,0.547,11.08,7.521,1.121,1.042,1.022,21,5,18,44,0,1,0,10,2,7,6,21,26,1,2,26,19,6,7,23,2,1,0.599,0.23,0.316,0,0,0,40.438,26,24.091,4,0.244,0.316,0.316,1.073,0.988,0.977
2021-01-13EDMVAN,VAN,EDM,2020,2021-01-14EDMVAN,5,3,1,1,0,0.34843,0.47393,0.23364,2021-01-13,5on5,0,22:00:00,2851,0.4324,0.5676,0.4176,0.5824,0.4328,0.5672,21.852,2.143,1.641,4.795,0.754,11.211,8.456,2.137,2.009,2.003,25,4,9,38,3,2,0,4,0,7,13,22,26,2,4,24,17,4,9,19,8,2,0.691,1.004,0.449,1,2,0,35.639,29,27.141,3,0.341,0.276,0.276,2.208,2.065,2.064,27.887,2.813,1.989,6.429,0.884,14.718,11.167,2.754,3.027,2.963,31,7,15,53,5,1,1,7,2,9,14,26,33,4,8,23,17,2,4,24,12,2,0.799,1.584,0.43,1,4,0,56.848,38,40.785,4,0.414,0.195,0.195,3.032,3.26,3.233
2021-01-13EDMVAN,EDM,VAN,2020,2021-01-14EDMVAN,3,5,0,0,0,0.47393,0.34843,0.23364,2021-01-13,5on5,1,22:00:00,2851,0.5676,0.4324,0.5824,0.4176,0.5672,0.4328,27.887,2.813,1.989,6.429,0.884,14.718,11.167,2.754,3.027,2.963,31,7,15,53,5,1,1,7,2,9,14,26,33,4,8,23,17,2,4,24,12,2,0.799,1.584,0.43,1,4,0,56.848,38,40.785,4,0.414,0.195,0.195,3.032,3.26,3.233,21.852,2.143,1.641,4.795,0.754,11.211,8.456,2.137,2.009,2.003,25,4,9,38,3,2,0,4,0,7,13,22,26,2,4,24,17,4,9,19,8,2,0.691,1.004,0.449,1,2,0,35.639,29,27.141,3,0.341,0.276,0.276,2.208,2.065,2.064
2021-01-13PHIPIT,PIT,PHI,2020,2021-01-15PHIPIT,3,6,0,0,0,0.39841,0.41152,0.24691,2021-01-13,5on5,0,17:30:00,3088,0.5358,0.4642,0.4353,0.5647,0.4394,0.5606,22.75,2.214,1.418,5.53,0.668,10.7,8.47,2.115,2.185,2.087,20,9,8,37,4,2,2,2,0,10,11,16,25,3,6,25,29,6,8,19,7,3,0.312,1.045,0.857,0,3,1,36.702,29,28.611,7,0.3,0.589,0.589,1.925,1.873,1.813,26.711,1.918,1.553,6.144,0.791,14.785,11.808,1.899,1.967,1.948,30,7,11,48,2,2,0,10,0,14,10,28,35,2,4,16,21,8,7,29,6,2,0.7,0.791,0.427,1,1,0,48.364,37,37.66,5,0.317,0.395,0.395,1.839,1.894,1.881
2021-01-13PHIPIT,PHI,PIT,2020,2021-01-15PHIPIT,6,3,1,1,0,0.41152,0.39841,0.24691,2021-01-13,5on5,1,17:30:00,3088,0.4642,0.5358,0.5647,0.4353,0.5606,0.4394,26.711,1.918,1.553,6.144,0.791,14.785,11.808,1.899,1.967,1.948,30,7,11,48,2,2,0,10,0,14,10,28,35,2,4,16,21,8,7,29,6,2,0.7,0.791,0.427,1,1,0,48.364,37,37.66,5,0.317,0.395,0.395,1.839,1.894,1.881,22.75,2.214,1.418,5.53,0.668,10.7,8.47,2.115,2.185,2.087,20,9,8,37,4,2,2,2,0,10,11,16,25,3,6,25,29,6,8,19,7,3,0.312,1.045,0.857,0,3,1,36.702,29,28.611,7,0.3,0.589,0.589,1.925,1.873,1.813
2021-01-13TBLCHI,CHI,TBL,2020,2021-01-15TBLCHI,1,5,0,0,0,0.22472,0.62893,0.20408,2021-01-13,5on5,0,20:00:00,2860,0.6614,0.3386,0.5075,0.4925,0.54,0.46,19.284,2.358,1.527,4.308,0.648,10.608,7.552,2.227,2.428,2.293,22,5,7,34,3,3,1,2,1,11,7,19,24,3,6,20,15,4,0,14,10,3,0.416,1.118,0.824,1,1,1,37.298,27,28.153,0,0.319,0.693,0.693,1.984,2.043,1.965,16.682,1.207,1.042,3.408,0.5,9.292,7.551,1.202,1.197,1.192,19,4,10,33,0,0,0,4,1,5,13,19,23,4,8,22,14,3,1,17,6,0,0.515,0.692,0.0,0,0,0,30.814,23,22.35,1,0.214,0.0,0.0,1.421,1.409,1.403
2021-01-13TBLCHI,TBL,CHI,2020,2021-01-15TBLCHI,5,1,1,1,0,0.62893,0.22472,0.20408,2021-01-13,5on5,1,20:00:00,2860,0.3386,0.6614,0.4925,0.5075,0.46,0.54,16.682,1.207,1.042,3.408,0.5,9.292,7.551,1.202,1.197,1.192,19,4,10,33,0,0,0,4,1,5,13,19,23,4,8,22,14,3,1,17,6,0,0.515,0.692,0.0,0,0,0,30.814,23,22.35,1,0.214,0.0,0.0,1.421,1.409,1.403,19.284,2.358,1.527,4.308,0.648,10.608,7.552,2.227,2.428,2.293,22,5,7,34,3,3,1,2,1,11,7,19,24,3,6,20,15,4,0,14,10,3,0.416,1.118,0.824,1,1,1,37.298,27,28.153,0,0.319,0.693,0.693,1.984,2.043,1.965
2021-01-13TORMTL,MTL,TOR,2020,2021-01-16EDMMTL,4,5,0,0,1,0.33333,0.4878,0.23095,2021-01-13,5on5,0,19:00:00,3143,0.4608,0.5392,0.5204,0.4796,0.4923,0.5077,22.663,1.851,1.527,5.018,0.721,13.395,9.488,1.839,1.733,1.722,20,12,19,51,2,1,0,4,2,9,14,18,30,3,9,27,11,2,6,25,7,0,1.043,0.809,0.0,1,1,0,47.93,32,30.168,2,0.315,0.088,0.088,2.078,1.946,1.936,24.432,2.166,1.654,5.779,0.77,12.918,9.713,2.09,2.345,2.263,22,11,14,47,2,1,0,5,0,12,13,20,31,4,11,19,29,6,13,21,10,2,0.536,1.195,0.435,1,0,1,50.514,33,35.307,9,0.348,0.197,0.197,2.316,2.505,2.456
2021-01-13TORMTL,TOR,MTL,2020,2021-01-15OTTTOR,5,4,1,0,1,0.4878,0.33333,0.23095,2021-01-13,5on5,1,19:00:00,3143,0.5392,0.4608,0.4796,0.5204,0.5077,0.4923,24.432,2.166,1.654,5.779,0.77,12.918,9.713,2.09,2.345,2.263,22,11,14,47,2,1,0,5,0,12,13,20,31,4,11,19,29,6,13,21,10,2,0.536,1.195,0.435,1,0,1,50.514,33,35.307,9,0.348,0.197,0.197,2.316,2.505,2.456,22.663,1.851,1.527,5.018,0.721,13.395,9.488,1.839,1.733,1.722,20,12,19,51,2,1,0,4,2,9,14,18,30,3,9,27,11,2,6,25,7,0,1.043,0.809,0.0,1,1,0,47.93,32,30.168,2,0.315,0.088,0.088,2.078,1.946,1.936
2021-01-14ARISJS,SJS,ARI,2020,2021-01-16ARISJS,4,3,1,0,1,0.35842,0.45872,0.23923,2021-01-14,5on5,0,21:00:00,2954,0.567,0.433,0.5208,0.4792,0.4714,0.5286,22.738,2.962,1.998,5.358,0.974,12.754,8.953,2.755,2.72,2.532,24,9,17,50,1,4,0,5,0,11,12,23,32,3,6,25,20,5,9,19,10,4,0.602,1.152,1.208,0,1,0,45.673,33,30.211,3,0.423,0.888,1.218,2.167,2.001,1.962,25.958,2.262,1.889,6.087,0.882,14.852,11.028,2.185,2.491,2.407,25,12,9,46,2,5,1,4,1,14,11,23,35,4,8,23,16,1,6,28,7,2,0.676,0.945,0.64,0,2,0,51.139,37,41.139,2,0.391,0.562,0.562,2.091,2.295,2.213
2021-01-14ARISJS,ARI,SJS,2020,2021-01-16ARISJS,3,4,0,0,1,0.45872,0.35842,0.23923,2021-01-14,5on5,1,21:00:00,2954,0.433,0.567,0.4792,0.5208,0.5286,0.4714,25.958,2.262,1.889,6.087,0.882,14.852,11.028,2.185,2.491,2.407,25,12,9,46,2,5,1,4,1,14,11,23,35,4,8,23,16,1,6,28,7,2,0.676,0.945,0.64,0,2,0,51.139,37,41.139,2,0.391,0.562,0.562,2.091,2.295,2.213,22.738,2.962,1.998,5.358,0.974,12.754,8.953,2.755,2.72,2.532,24,9,17,50,1,4,0,5,0,11,12,23,32,3,6,25,20,5,9,19,10,4,0.602,1.152,1.208,0,1,0,45.673,33,30.211,3,0.423,0.888,1.218,2.167,2.001,1.962
2021-01-14BUFWSH,WSH,BUF,2020,2021-01-15BUFWSH,6,4,1,1,0,0.45872,0.35587,0.23923,2021-01-14,5on5,0,19:00:00,3079,0.5267,0.4733,0.5147,0.4853,0.4906,0.5094,18.053,1.185,1.302,3.964,0.585,11.283,7.68,1.143,1.076,1.038,19,7,9,35,2,1,0,6,1,6,10,17,24,3,9,24,20,5,9,22,4,0,0.696,0.49,0.0,2,0,0,31.25,26,23.444,4,0.26,0.179,0.179,1.266,1.15,1.115,18.093,1.065,1.131,4.748,0.631,11.19,8.235,1.061,1.171,1.166,21,6,6,33,4,0,0,4,0,8,11,17,23,4,11,24,18,4,4,23,4,0,0.512,0.553,0.0,2,2,0,36.927,27,29.952,1,0.228,0.0,0.0,1.294,1.423,1.417
2021-01-14BUFWSH,BUF,WSH,2020,2021-01-15BUFWSH,4,6,0,0,0,0.35587,0.45872,0.23923,2021-01-14,5on5,1,19:00:00,3079,0.4733,0.5267,0.4853,0.5147,0.5094,0.4906,18.093,1.065,1.131,4.748,0.631,11.19,8.235,1.061,1.171,1.166,21,6,6,33,4,0,0,4,0,8,11,17,23,4,11,24,18,4,4,23,4,0,0.512,0.553,0.0,2,2,0,36.927,27,29.952,1,0.228,0.0,0.0,1.294,1.423,1.417,18.053,1.185,1.302,3.964,0.585,11.283,7.68,1.143,1.076,1.038,19,7,9,35,2,1,0,6,1,6,10,17,24,3,9,24,20,5,9,22,4,0,0.696,0.49,0.0,2,0,0,31.25,26,23.444,4,0.26,0.179,0.179,1.266,1.15,1.115
2021-01-14DETCAR,DET,CAR,2020,2021-01-16DETCAR,0,3,0,0,0,0.24876,0.59172,0.21692,2021-01-14,5on5,1,19:30:00,3020,0.6556,0.3444,0.6667,0.3333,0.6866,0.3134,33.715,2.517,2.073,8.29,1.113,17.982,14.026,2.444,2.757,2.678,35,11,12,58,1,1,0,8,1,16,19,34,45,3,9,29,26,3,6,37,7,2,1.22,0.845,0.451,0,0,1,64.014,46,50.549,2,0.434,0.15,0.15,2.801,3.069,2.977,15.057,1.322,1.149,3.234,0.489,8.696,6.11,1.29,1.227,1.196,12,9,8,29,0,2,0,0,1,7,11,12,21,3,9,22,18,2,15,15,5,1,0.565,0.488,0.269,0,0,0,26.57,21,19.333,11,0.236,0.303,0.303,1.255,1.157,1.148
2021-01-14DETCAR,CAR,DET,2020,2021-01-16DETCAR,3,0,1,1,0,0.59172,0.24876,0.21692,2021-01-14,5on5,0,19:30:00,3020,0.3444,0.6556,0.3333,0.6667,0.3134,0.6866,15.057,1.322,1.149,3.234,0.489,8.696,6.11,1.29,1.227,1.196,12,9,8,29,0,2,0,0,1,7,11,12,21,3,9,22,18,2,15,15,5,1,0.565,0.488,0.269,0,0,0,26.57,21,19.333,11,0.236,0.303,0.303,1.255,1.157,1.148,33.715,2.517,2.073,8.29,1.113,17.982,14.026,2.444,2.757,2.678,35,11,12,58,1,1,0,8,1,16,19,34,45,3,9,29,26,3,6,37,7,2,1.22,0.845,0.451,0,0,1,64.014,46,50.549,2,0.434,0.15,0.15,2.801,3.069,2.977
2021-01-14EDMVAN,EDM,VAN,2020,2021-01-16EDMMTL,5,2,1,1,0,0.46948,0.35714,0.22989,2021-01-14,5on5,1,21:00:00,2673,0.4481,0.5519,0.5586,0.4414,0.4881,0.5119,28.816,2.532,1.865,6.953,1.019,15.918,12.713,2.516,2.524,2.508,30,11,21,62,2,4,1,4,1,15,15,28,39,3,6,22,23,10,9,29,11,1,0.785,1.375,0.372,1,1,0,59.35,41,39.617,7,0.38,0.651,0.651,2.262,2.26,2.252,32.202,3.118,2.236,7.205,1.018,17.007,12.416,2.923,3.138,2.939,36,7,6,49,3,3,2,9,1,12,15,33,40,5,10,21,33,7,10,27,13,3,0.943,1.494,0.681,0,1,2,51.3,43,44.341,9,0.466,0.65,0.65,2.933,2.94,2.774
