"game_id","home_team","away_team","home_score","away_score","season","game_time","game_date"
"2021-01-13COLSTL","COL","STL","1","4","2020","22:30:00","2021-01-13"
"2021-01-13EDMVAN","EDM","VAN","3","5","2020","22:00:00","2021-01-13"
"2021-01-13PHIPIT","PHI","PIT","6","3","2020","17:30:00","2021-01-13"
"2021-01-13TBLCHI","TBL","CHI","5","1","2020","20:00:00","2021-01-13"
"2021-01-13TORMTL","TOR","MTL","5","4","2020","19:00:00","2021-01-13"
"2021-01-14ARISJS","ARI","SJS","3","4","2020","21:00:00","2021-01-14"
"2021-01-14BUFWSH","BUF","WSH","4","6","2020","19:00:00","2021-01-14"
"2021-01-14DETCAR","DET","CAR","0","3","2020","19:30:00","2021-01-14"
"2021-01-14EDMVAN","EDM","VAN","5","2","2020","21:00:00","2021-01-14"
"2021-01-14LAKMIN","LAK","MIN","3","4","2020","22:00:00","2021-01-14"
"2021-01-14NJDBOS","NJD","BOS","2","3","2020","19:00:00","2021-01-14"
"2021-01-14NSHCBJ","NSH","CBJ","3","1","2020","20:00:00","2021-01-14"
"2021-01-14NYRNYI","NYR","NYI","0","4","2020","19:00:00","2021-01-14"
"2021-01-14VGKANA","VGK","ANA","5","2","2020","22:00:00","2021-01-14"
"2021-01-14WPGCGY","WPG","CGY","4","3","2020","20:00:00","2021-01-14"
"2021-01-15BUFWSH","BUF","WSH","1","2","2020","19:00:00","2021-01-15"
"2021-01-15COLSTL","COL","STL","8","0","2020","21:00:00","2021-01-15"
"2021-01-15OTTTOR","OTT","TOR","5","3","2020","19:00:00","2021-01-15"
"2021-01-15PHIPIT","PHI","PIT","5","2","2020","19:00:00","2021-01-15"
"2021-01-15TBLCHI","TBL","CHI","5","2","2020","19:00:00","2021-01-15"
"2021-01-16ARISJS","ARI","SJS","5","3","2020","16:00:00","2021-01-16"
"2021-01-16CGYVAN","CGY","VAN","3","0","2020","22:00:00","2021-01-16"
"2021-01-16DETCAR","DET","CAR","4","2","2020","19:00:00","2021-01-16"
"2021-01-16EDMMTL","EDM","MTL","1","5","2020","19:00:00","2021-01-16"
"2021-01-16LAKMIN","LAK","MIN","3","4","2020","21:00:00","2021-01-16"
"2021-01-16NJDBOS","NJD","BOS","2","1","2020","13:00:00","2021-01-16"
"2021-01-16NSHCBJ","NSH","CBJ","5","2","2020","20:00:00","2021-01-16"
"2021-01-16NYRNYI","NYR","NYI","5","0","2020","19:00:00","2021-01-16"
"2021-01-16OTTTOR","OTT","TOR","2","3","2020","19:00:00","2021-01-16"
"2021-01-16VGKANA","VGK","ANA","2","1","2020","22:00:00","2021-01-16"
"2021-01-17FLACHI","FLA","CHI","5","2","2020","19:00:00","2021-01-17"
"2021-01-17PITWSH","PIT","WSH","4","3","2020","12:00:00","2021-01-17"
"2021-01-18ANAMIN","ANA","MIN","1","0","2020","21:00:00","2021-01-18"
"2021-01-18CGYVAN","CGY","VAN","5","2","2020","21:00:00","2021-01-18"
"2021-01-18DETCBJ","DET","CBJ","2","3","2020","12:00:00","2021-01-18"
"2021-01-18EDMMTL","EDM","MTL","1","3","2020","21:00:00","2021-01-18"
"2021-01-18NSHCAR","NSH","CAR","2","4","2020","20:00:00","2021-01-18"
"2021-01-18NYIBOS","NYI","BOS","1","0","2020","17:00:00","2021-01-18"
"2021-01-18PHIBUF","PHI","BUF","1","6","2020","19:30:00","2021-01-18"
"2021-01-18STLSJS","STL","SJS","5","4","2020","20:00:00","2021-01-18"
"2021-01-18TORWPG","TOR","WPG","3","1","2020","19:00:00","2021-01-18"
"2021-01-18VGKARI","VGK","ARI","4","2","2020","22:00:00","2021-01-18"
"2021-01-19DETCBJ","DET","CBJ","3","2","2020","19:30:00","2021-01-19"
"2021-01-19FLACHI","FLA","CHI","5","4","2020","19:00:00","2021-01-19"
"2021-01-19LAKCOL","LAK","COL","2","3","2020","22:00:00","2021-01-19"
"2021-01-19NYRNJD","NYR","NJD","3","4","2020","19:00:00","2021-01-19"
"2021-01-19OTTWPG","OTT","WPG","3","4","2020","19:00:00","2021-01-19"
"2021-01-19PHIBUF","PHI","BUF","3","0","2020","19:00:00","2021-01-19"
"2021-01-19PITWSH","PIT","WSH","5","4","2020","19:00:00","2021-01-19"
"2021-01-20ANAMIN","ANA","MIN","2","3","2020","21:30:00","2021-01-20"
"2021-01-20STLSJS","STL","SJS","1","2","2020","21:00:00","2021-01-20"
"2021-01-20TOREDM","TOR","EDM","1","3","2020","19:00:00","2021-01-20"
"2021-01-20VANMTL","VAN","MTL","6","5","2020","22:00:00","2021-01-20"
"2021-01-20VGKARI","VGK","ARI","5","2","2020","22:00:00","2021-01-20"
"2021-01-21BOSPHI","BOS","PHI","5","4","2020","19:00:00","2021-01-21"
"2021-01-21CBJTBL","CBJ","TBL","2","3","2020","19:00:00","2021-01-21"
"2021-01-21LAKCOL","LAK","COL","4","2","2020","22:00:00","2021-01-21"
"2021-01-21NYINJD","NYI","NJD","4","1","2020","19:00:00","2021-01-21"
"2021-01-21OTTWPG","OTT","WPG","1","4","2020","19:00:00","2021-01-21"
"2021-01-21VANMTL","VAN","MTL","3","7","2020","21:30:00","2021-01-21"
"2021-01-22ANACOL","ANA","COL","2","3","2020","22:00:00","2021-01-22"
"2021-01-22ARIVGK","ARI","VGK","5","2","2020","21:00:00","2021-01-22"
"2021-01-22CHIDET","CHI","DET","4","1","2020","20:00:00","2021-01-22"
"2021-01-22DALNSH","DAL","NSH","7","0","2020","20:30:00","2021-01-22"
"2021-01-22MINSJS","MIN","SJS","4","1","2020","20:00:00","2021-01-22"
"2021-01-22PITNYR","PIT","NYR","4","3","2020","19:00:00","2021-01-22"
"2021-01-22TOREDM","TOR","EDM","4","2","2020","19:00:00","2021-01-22"
"2021-01-22WSHBUF","WSH","BUF","4","3","2020","19:00:00","2021-01-22"
"2021-01-23BOSPHI","BOS","PHI","6","1","2020","19:00:00","2021-01-23"
"2021-01-23CBJTBL","CBJ","TBL","5","2","2020","14:00:00","2021-01-23"
"2021-01-23STLLAK","STL","LAK","4","2","2020","20:00:00","2021-01-23"
"2021-01-23VANMTL","VAN","MTL","2","5","2020","19:00:00","2021-01-23"
"2021-01-23WPGOTT","WPG","OTT","6","3","2020","22:00:00","2021-01-23"
"2021-01-24ANACOL","ANA","COL","3","1","2020","20:00:00","2021-01-24"
"2021-01-24ARIVGK","ARI","VGK","0","1","2020","16:00:00","2021-01-24"
"2021-01-24CGYTOR","CGY","TOR","2","3","2020","16:00:00","2021-01-24"
"2021-01-24CHIDET","CHI","DET","6","2","2020","12:30:00","2021-01-24"
"2021-01-24DALNSH","DAL","NSH","3","2","2020","20:00:00","2021-01-24"
"2021-01-24MINSJS","MIN","SJS","3","5","2020","20:00:00","2021-01-24"
"2021-01-24NJDNYI","NJD","NYI","2","0","2020","19:00:00","2021-01-24"
"2021-01-24PITNYR","PIT","NYR","3","2","2020","19:00:00","2021-01-24"
"2021-01-24STLLAK","STL","LAK","3","6","2020","20:00:00","2021-01-24"
"2021-01-24WPGEDM","WPG","EDM","3","4","2020","21:00:00","2021-01-24"
"2021-01-24WSHBUF","WSH","BUF","3","4","2020","15:00:00","2021-01-24"
"2021-01-25VANOTT","VAN","OTT","7","1","2020","22:00:00","2021-01-25"
"2021-01-26ARIANA","ARI","ANA","0","1","2020","21:00:00","2021-01-26"
"2021-01-26BOSPIT","BOS","PIT","3","2","2020","19:00:00","2021-01-26"
"2021-01-26BUFNYR","BUF","NYR","3","2","2020","19:00:00","2021-01-26"
"2021-01-26CBJFLA","CBJ","FLA","3","4","2020","19:00:00","2021-01-26"
"2021-01-26CGYTOR","CGY","TOR","3","4","2020","21:00:00","2021-01-26"
"2021-01-26COLSJS","COL","SJS","7","3","2020","21:00:00","2021-01-26"
"2021-01-26DALDET","DAL","DET","2","1","2020","20:30:00","2021-01-26"
"2021-01-26MINLAK","MIN","LAK","1","2","2020","20:00:00","2021-01-26"
"2021-01-26NJDPHI","NJD","PHI","3","5","2020","19:00:00","2021-01-26"
"2021-01-26NSHCHI","NSH","CHI","3","2","2020","20:00:00","2021-01-26"
"2021-01-26VGKSTL","VGK","STL","4","5","2020","21:00:00","2021-01-26"
"2021-01-26WPGEDM","WPG","EDM","6","4","2020","20:00:00","2021-01-26"
"2021-01-26WSHNYI","WSH","NYI","3","2","2020","19:00:00","2021-01-26"
"2021-01-27NSHCHI","NSH","CHI","2","1","2020","19:30:00","2021-01-27"
"2021-01-27VANOTT","VAN","OTT","5","1","2020","20:00:00","2021-01-27"
"2021-01-28ARIANA","ARI","ANA","3","2","2020","21:00:00","2021-01-28"
"2021-01-28BOSPIT","BOS","PIT","4","1","2020","19:00:00","2021-01-28"
"2021-01-28BUFNYR","BUF","NYR","2","3","2020","19:00:00","2021-01-28"
"2021-01-28CARTBL","CAR","TBL","1","0","2020","19:00:00","2021-01-28"
"2021-01-28CBJFLA","CBJ","FLA","3","2","2020","19:00:00","2021-01-28"
"2021-01-28COLSJS","COL","SJS","3","0","2020","21:00:00","2021-01-28"
"2021-01-28DALDET","DAL","DET","7","3","2020","20:30:00","2021-01-28"
"2021-01-28EDMTOR","EDM","TOR","3","4","2020","22:00:00","2021-01-28"
"2021-01-28MINLAK","MIN","LAK","5","3","2020","20:00:00","2021-01-28"
"2021-01-28MTLCGY","MTL","CGY","4","2","2020","19:00:00","2021-01-28"
"2021-01-28NJDPHI","NJD","PHI","1","3","2020","19:00:00","2021-01-28"
"2021-01-28VANOTT","VAN","OTT","4","1","2020","22:00:00","2021-01-28"
