game_id,home_odds,away_odds,ot_odds,home_result,away_result,ot_result
2022-10-11LAKVGK,0.42553,0.3937,0.23529,0,1,0
2022-10-11NYRTBL,0.44248,0.36765,0.24096,1,0,0
2022-10-12ANASEA,0.42735,0.39062,0.24096,0,0,1
2022-10-12CARCBJ,0.625,0.22371,0.20877,1,0,0
2022-10-12COLCHI,0.69444,0.17544,0.18248,1,0,0
2022-10-12EDMVAN,0.54054,0.29412,0.21978,1,0,0
2022-10-12MTLTOR,0.24752,0.60241,0.20492,1,0,0
2022-10-12WSHBOS,0.46296,0.35211,0.23256,0,1,0
2022-10-13BUFOTT,0.39526,0.4329,0.23202,1,0,0
2022-10-13CGYCOL,0.46083,0.35971,0.23256,1,0,0
2022-10-13LAKSEA,0.52632,0.30303,0.22573,0,1,0
2022-10-13MINNYR,0.44053,0.37175,0.23923,0,1,0
2022-10-13NSHDAL,0.46083,0.35461,0.23981,0,1,0
2022-10-13NYIFLA,0.35714,0.46296,0.23585,0,1,0
2022-10-13PHINJD,0.37736,0.44053,0.23529,1,0,0
2022-10-13PITARI,0.70423,0.16807,0.18484,1,0,0
2022-10-13TORWSH,0.56497,0.28169,0.21277,1,0,0
2022-10-13VGKCHI,0.68027,0.18692,0.18868,1,0,0
2022-10-14CBJTBL,0.28249,0.55249,0.22624,0,1,0
2022-10-14DETMTL,0.52356,0.30581,0.22573,1,0,0
2022-10-14SJSCAR,0.27473,0.55866,0.22173,0,1,0
2022-10-14WPGNYR,0.45872,0.36364,0.22779,1,0,0
2022-10-15BOSARI,0.66667,0.1912,0.19646,1,0,0
2022-10-15BUFFLA,0.29674,0.54348,0.21505,0,1,0
2022-10-15DALNSH,0.44248,0.37175,0.24038,1,0,0
2022-10-15EDMCGY,0.46512,0.36232,0.22272,0,1,0
2022-10-15MINLAK,0.52083,0.30581,0.22989,0,1,0
2022-10-15NJDDET,0.52083,0.31546,0.22075,0,1,0
2022-10-15NYIANA,0.51813,0.30395,0.23419,1,0,0
2022-10-15PHIVAN,0.32895,0.4902,0.23419,1,0,0
2022-10-15PITTBL,0.5,0.3268,0.22472,1,0,0
2022-10-15SEAVGK,0.3663,0.45662,0.23202,0,1,0
2022-10-15SJSCHI,0.47847,0.3413,0.23697,0,1,0
2022-10-15STLCBJ,0.60606,0.23753,0.21053,1,0,0
2022-10-15TOROTT,0.59172,0.26247,0.20877,1,0,0
2022-10-15WSHMTL,0.65789,0.20325,0.19493,1,0,0
2022-10-17BOSFLA,0.369,0.45045,0.23095,1,0,0
2022-10-17DALWPG,0.47619,0.34602,0.23474,1,0,0
2022-10-17DETLAK,0.36496,0.45662,0.23364,0,0,1
2022-10-17MINCOL,0.39216,0.4329,0.23095,0,1,0
2022-10-17MTLPIT,0.24331,0.60241,0.20877,0,0,1
2022-10-17NYRANA,0.60606,0.23419,0.21598,1,0,0
2022-10-17SEACAR,0.30864,0.51813,0.23095,0,1,0
2022-10-17TORARI,0.74627,0.14493,0.16639,0,1,0
2022-10-17WSHVAN,0.45872,0.36101,0.23641,1,0,0
2022-10-18CBJVAN,0.41494,0.40486,0.23641,0,0,1
2022-10-18CGYVGK,0.49505,0.32573,0.23202,1,0,0
2022-10-18EDMBUF,0.59524,0.25641,0.20534,0,1,0
2022-10-18NJDANA,0.54348,0.29155,0.22124,1,0,0
2022-10-18NSHLAK,0.5102,0.31056,0.23202,0,0,1
2022-10-18NYISJS,0.54945,0.27855,0.22727,1,0,0
2022-10-18OTTBOS,0.44643,0.37313,0.23585,1,0,0
2022-10-18TBLPHI,0.64516,0.20747,0.2045,0,1,0
2022-10-19COLWPG,0.58824,0.24938,0.21277,0,0,1
