game_id,home_team,season,away_team,game_date,situation,iceTime,xGoalsPercentageHome,xGoalsPercentageAway,corsiPercentageHome,corsiPercentageAway,fenwickPercentageHome,fenwickPercentageAway,xOnGoalHome,xGoalsHome,xReboundsHome,xFreezeHome,xPlayStoppedHome,xPlayContinuedInZoneHome,xPlayContinuedOutsideZoneHome,flurryAdjustedxGoalsHome,scoreVenueAdjustedxGoalsHome,flurryScoreVenueAdjustedxGoalsHome,shotsOnGoalHome,missedShotsHome,blockedShotAttemptsHome,shotAttemptsHome,goalsHome,reboundsHome,reboundGoalsHome,freezeHome,playStoppedHome,playContinuedInZoneHome,playContinuedOutsideZoneHome,savedShotsOnGoalHome,savedUnblockedShotAttemptsHome,penaltiesHome,penalityMinutesHome,faceOffsWonHome,hitsHome,takeawaysHome,giveawaysHome,lowDangerShotsHome,mediumDangerShotsHome,highDangerShotsHome,lowDangerxGoalsHome,mediumDangerxGoalsHome,highDangerxGoalsHome,lowDangerGoalsHome,mediumDangerGoalsHome,highDangerGoalsHome,scoreAdjustedShotsAttemptsHome,unblockedShotAttemptsHome,scoreAdjustedUnblockedShotAttemptsHome,dZoneGiveawaysHome,xGoalsFromxReboundsOfShotsHome,xGoalsFromActualReboundsOfShotsHome,reboundxGoalsHome,totalShotCreditHome,scoreAdjustedTotalShotCreditHome,scoreFlurryAdjustedTotalShotCreditHome,xOnGoalAway,xGoalsAway,xReboundsAway,xFreezeAway,xPlayStoppedAway,xPlayContinuedInZoneAway,xPlayContinuedOutsideZoneAway,flurryAdjustedxGoalsAway,scoreVenueAdjustedxGoalsAway,flurryScoreVenueAdjustedxGoalsAway,shotsOnGoalAway,missedShotsAway,blockedShotAttemptsAway,shotAttemptsAway,goalsAway,reboundsAway,reboundGoalsAway,freezeAway,playStoppedAway,playContinuedInZoneAway,playContinuedOutsideZoneAway,savedShotsOnGoalAway,savedUnblockedShotAttemptsAway,penaltiesAway,penalityMinutesAway,faceOffsWonAway,hitsAway,takeawaysAway,giveawaysAway,lowDangerShotsAway,mediumDangerShotsAway,highDangerShotsAway,lowDangerxGoalsAway,mediumDangerxGoalsAway,highDangerxGoalsAway,lowDangerGoalsAway,mediumDangerGoalsAway,highDangerGoalsAway,scoreAdjustedShotsAttemptsAway,unblockedShotAttemptsAway,scoreAdjustedUnblockedShotAttemptsAway,dZoneGiveawaysAway,xGoalsFromxReboundsOfShotsAway,xGoalsFromActualReboundsOfShotsAway,reboundxGoalsAway,totalShotCreditAway,scoreAdjustedTotalShotCreditAway,scoreFlurryAdjustedTotalShotCreditAway
2021-11-05LAKNJD,LAK,2021,NJD,11/3/21,5on5,2602,0.4166,0.5834,0.5063,0.4937,0.5179,0.4821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18LAKTBL,LAK,2021,TBL,1/18/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10LAKSJS,LAK,2021,SJS,3/10/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17LAKSJS,LAK,2021,SJS,3/17/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25LAKTBL,LAK,2022,TBL,10/25/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17LAKSJS,LAK,2022,SJS,12/17/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11LAKSJS,LAK,2022,SJS,1/11/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-14LAKNJD,LAK,2022,NJD,1/14/23,5on5,2841,0.6259,0.3741,0.5778,0.4222,0.6176,0.3824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-30NJDSJS,NJD,2021,SJS,11/30/21,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23NJDLAK,NJD,2021,LAK,1/23/22,5on5,3075,0.4864,0.5136,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
